mean_x, std_x, mean_y, std_y, mean_z, std_z, Activity
-13.182283,5.095451959960915,-4.4611177,4.772247215997992,-2.5560935,2.327804338530768,hand_wash
-8.984567,5.993246728414929,-3.7928386,4.761445561020981,-2.5853631,2.510881014309037,hand_wash
-8.762996,2.6422156785289146,-2.781329,2.527095540754411,-1.7255306,3.2857697375576262,hand_wash
-9.637488,1.7656256751675286,-3.4225194,1.2643685403037512,-0.15435116,1.461978806442508,hand_wash
-9.72365,2.632215301971907,-4.68272,2.0072337700637477,0.552437,1.2615648772241148,hand_wash
-3.90438,1.0406598311543314,-6.769685,2.7765044971047006,4.35046,1.8300104444237002,hand_wash
-2.7394233,1.1150563326747878,-8.727134,1.576156899760412,3.7128892,1.5739083942575578,hand_wash
-0.41732955,3.146868217635209,-8.053422,1.6914137912784755,4.9989853,1.5937948781595017,hand_wash
4.81494,0.5703439834474693,-6.729548,1.5180965603409966,5.712061,1.018622859674055,hand_wash
5.4377227,0.14616606778791866,2.8819427,2.212142130902084,6.1296015,0.6592797549552147,hand_wash
5.394732,0.21113293918602288,2.9708495,2.821906656317929,5.82574,0.7556845292716111,hand_wash
2.9038277,1.2616097606909076,-7.255694,0.7522304667494188,6.3304563,0.838731108564998,hand_wash
0.13026035,0.5371589221642651,-6.9705105,0.730291130788164,7.0863333,0.46917633695726485,hand_wash
2.8823988,2.1196114153383094,-4.515545,1.8620385078275283,7.619374,0.8152548231293957,hand_wash
6.376186,0.1457747053474251,2.1255527,2.068537689101683,6.0787477,1.063214342421272,hand_wash
5.8456492,0.5588656477328027,2.6826997,3.440999417283603,4.7670665,0.6628784169571734,hand_wash
2.2318766,0.6532313082386214,-8.674937,0.539035354151901,5.4140286,0.7487835555924091,hand_wash
1.6042974,0.571794152928959,-8.526387,1.3395208742680318,4.2979407,0.7197068935072097,hand_wash
-0.85561043,2.0676001865601634,-6.254427,3.7635873687078094,7.1213875,2.0133945633038506,hand_wash
-2.7533808,1.089240888437086,2.0283399,0.5513466172092149,8.569157,0.6561529451081622,hand_wash
-9.275621,4.8156779311710185,-3.5900044,5.141127170511737,3.0764735,3.339034704182828,hand_wash
-7.618957,6.180685895862251,-2.3620594,6.372830489258616,1.3609002,2.7959481520368317,hand_wash
-9.492021,2.2017283239786565,-3.218365,1.107090061001238,0.4789597,1.4008427825025076,hand_wash
-9.891371,1.7952478090056945,-3.238441,1.5659908209929987,0.32067052,1.4529850389900967,hand_wash
-7.5083866,2.98123259149423,-4.994446,2.4301747511205622,-2.5737813,4.143527183468404,hand_wash
-8.935304,3.2048699812917314,-2.891286,3.0950424115012867,-0.98471254,3.54692043997944,hand_wash
-9.86119,1.8682606697528221,-2.8346775,1.6471303665827557,0.4930139,1.4187178721550295,hand_wash
-9.991904,2.774272868112801,-2.7453508,1.4277459808170134,0.48729885,1.2956234511546967,hand_wash
-9.613316,1.5207670624111451,-3.1102123,0.7638394691395084,-0.08176371,2.28192013865419,hand_wash
-9.651079,1.1807554854847724,-2.797084,1.2661952864941644,1.1738875,1.0874642267591592,hand_wash
-9.496749,1.6580112377701617,-2.694403,1.3339259301000967,0.36406127,0.5666128110771703,hand_wash
-9.90527,3.2077943588613462,-1.9182322,3.1745379314454625,1.2568156,1.729194809405028,hand_wash
-9.2525215,2.436434782016848,-2.352758,1.4047681418281193,1.2989485,1.4407637490009182,hand_wash
-9.303154,2.3669306549628426,-2.991356,1.4839190937413063,0.9020934,1.1239790522398372,hand_wash
-10.0768385,1.766453438912646,-2.7675884,1.3940643041684984,1.5737028,2.26643357153608,hand_wash
-8.936713,1.6661897771759595,-3.1883287,2.4415073221266,3.1393917,2.8992706499771366,hand_wash
1.540346,3.4338621830953957,-8.351565,1.9536943750157079,-1.3386624,1.6827153084828301,hand_wash
-1.0334446,5.659751861848301,-6.443224,5.592874810146189,0.65517354,4.574810820456814,hand_wash
-10.327153,3.423101753962473,-3.941224,2.5900311754625975,0.70942926,2.0249476155228243,hand_wash
-10.038696,1.6614166142917035,-3.2839224,1.5515327074277285,1.7722058,1.0122670930082043,hand_wash
-9.113917,1.6947095651401782,-3.1796665,1.195678953956474,1.9273742,1.208482776915265,hand_wash
-9.346138,1.7843208612088912,-2.6810288,1.4257649459951798,1.9978917,1.9643297983152097,hand_wash
-10.226574,1.6568471443888193,-3.7704933,1.26127389913549,-0.6495003,1.989577974109189,hand_wash
-9.182389,1.6553719550328492,-2.5822742,1.6588703516036343,1.3894694,0.5709853710030899,hand_wash
-9.49082,1.911725170279051,-2.896836,1.2529441969426096,1.6498638,1.077757178324927,hand_wash
-9.702328,3.3638884276531424,-2.9139626,1.8361728598515699,0.93328416,0.9377342249418807,hand_wash
